class_id,vertices,n_types,types,n_realizations,K,one_example_mu_to_lambda_per_type
23819,9,3,B3+B4+F4,21,1q^2 + 3q^3 + 2q^4 + 1q^5,B3: (1 1 3) -> (3 2 1) ; B4: (2 1 1 3) -> (0 3 2 1) ; F4: (1 1 3 1) -> (3 2 1 0)
23823,13,3,B3+B4+F4,3,1q^3 + 6q^4 + 9q^5 + 9q^6 + 7q^7 + 4q^8 + 2q^9 + 1q^10,B3: (1 1 3) -> (3 3 1) ; B4: (3 1 1 3) -> (0 3 3 1) ; F4: (1 1 3 3) -> (3 3 1 0)
23830,11,3,B3+B4+F4,18,2q^2 + 3q^3 + 4q^4 + 2q^5 + 1q^6,B3: (1 2 0) -> (1 2 2) ; B4: (1 1 2 0) -> (0 1 2 2) ; F4: (1 2 0 3) -> (1 2 2 0)
23832,10,3,B3+B4+F4,39,1q + 1q^2 + 2q^3 + 1q^4 + 1q^5,B3: (1 2 0) -> (1 3 0) ; B4: (1 1 2 0) -> (0 1 3 0) ; F4: (1 2 0 2) -> (1 3 0 0)
23840,13,3,B3+B4+F4,4,1q^3 + 3q^4 + 3q^5 + 3q^6 + 1q^7 + 1q^8,B3: (1 2 0) -> (2 3 0) ; B4: (2 1 2 0) -> (0 2 3 0) ; F4: (1 2 0 3) -> (2 3 0 0)
23844,11,3,B3+B4+F4,7,4q^3 + 4q^4 + 4q^5 + 2q^6 + 1q^7,B3: (1 2 0) -> (3 1 2) ; B4: (2 1 2 0) -> (0 3 1 2) ; F4: (1 2 0 3) -> (3 1 2 0)
23846,12,3,B3+B4+F4,8,2q^2 + 1q^3 + 3q^4 + 1q^5 + 1q^6,B3: (1 2 0) -> (3 2 0) ; B4: (2 1 2 0) -> (0 3 2 0) ; F4: (1 2 0 2) -> (3 2 0 0)
23856,11,3,B3+B4+F4,18,3q^2 + 4q^3 + 4q^4 + 2q^5 + 1q^6,B3: (1 2 1) -> (1 2 3) ; B4: (1 1 2 1) -> (0 1 2 3) ; F4: (1 2 1 3) -> (1 2 3 0)
23857,10,3,B3+B4+F4,39,1q + 2q^2 + 3q^3 + 2q^4 + 1q^5,B3: (1 2 1) -> (1 3 1) ; B4: (1 1 2 1) -> (0 1 3 1) ; F4: (1 2 1 2) -> (1 3 1 0)
23863,13,3,B3+B4+F4,4,1q^2 + 4q^3 + 6q^4 + 6q^5 + 4q^6 + 2q^7 + 1q^8,B3: (1 2 1) -> (2 3 1) ; B4: (2 1 2 1) -> (0 2 3 1) ; F4: (1 2 1 3) -> (2 3 1 0)
23866,11,3,B3+B4+F4,7,1q^2 + 5q^3 + 5q^4 + 4q^5 + 2q^6 + 1q^7,B3: (1 2 1) -> (3 1 3) ; B4: (2 1 2 1) -> (0 3 1 3) ; F4: (1 2 1 3) -> (3 1 3 0)
23867,12,3,B3+B4+F4,8,2q^2 + 3q^3 + 4q^4 + 2q^5 + 1q^6,B3: (1 2 1) -> (3 2 1) ; B4: (2 1 2 1) -> (0 3 2 1) ; F4: (1 2 1 2) -> (3 2 1 0)
23875,10,3,B3+B4+F4,39,1q + 3q^2 + 4q^3 + 2q^4 + 1q^5,B3: (1 2 2) -> (1 3 2) ; B4: (1 1 2 2) -> (0 1 3 2) ; F4: (1 2 2 2) -> (1 3 2 0)
23879,13,3,B3+B4+F4,4,1q^2 + 5q^3 + 8q^4 + 7q^5 + 5q^6 + 2q^7 + 1q^8,B3: (1 2 2) -> (2 3 2) ; B4: (2 1 2 2) -> (0 2 3 2) ; F4: (1 2 2 3) -> (2 3 2 0)
23881,12,3,B3+B4+F4,8,3q^2 + 4q^3 + 5q^4 + 2q^5 + 1q^6,B3: (1 2 2) -> (3 2 2) ; B4: (2 1 2 2) -> (0 3 2 2) ; F4: (1 2 2 2) -> (3 2 2 0)
23883,10,3,B3+B4+F4,21,2q^3 + 1q^4 + 1q^5,B3: (1 2 2) -> (3 3 0) ; B4: (2 1 2 2) -> (0 3 3 0) ; F4: (1 2 2 1) -> (3 3 0 0)
23887,8,3,B3+B4+F4,111,1q + 3q^2 + 4q^3 + 2q^4 + 1q^5,B3: (1 2 3) -> (1 3 3) ; B4: (1 1 2 3) -> (0 1 3 3) ; F4: (1 2 3 2) -> (1 3 3 0)
23889,12,3,B3+B4+F4,4,1q^2 + 6q^3 + 9q^4 + 8q^5 + 5q^6 + 2q^7 + 1q^8,B3: (1 2 3) -> (2 3 3) ; B4: (2 1 2 3) -> (0 2 3 3) ; F4: (1 2 3 3) -> (2 3 3 0)
23890,10,3,B3+B4+F4,20,3q^2 + 4q^3 + 5q^4 + 2q^5 + 1q^6,B3: (1 2 3) -> (3 2 3) ; B4: (2 1 2 3) -> (0 3 2 3) ; F4: (1 2 3 2) -> (3 2 3 0)
23891,8,3,B3+B4+F4,69,1q^2 + 3q^3 + 2q^4 + 1q^5,B3: (1 2 3) -> (3 3 1) ; B4: (2 1 2 3) -> (0 3 3 1) ; F4: (1 2 3 1) -> (3 3 1 0)
23895,10,3,B3+B4+F4,36,2q^2 + 3q^3 + 4q^4 + 2q^5 + 1q^6,B3: (1 3 0) -> (1 3 2) ; B4: (1 1 3 0) -> (0 1 3 2) ; F4: (1 3 0 3) -> (1 3 2 0)
23901,12,3,B3+B4+F4,7,4q^3 + 4q^4 + 5q^5 + 2q^6 + 1q^7,B3: (1 3 0) -> (3 2 2) ; B4: (2 1 3 0) -> (0 3 2 2) ; F4: (1 3 0 3) -> (3 2 2 0)
23903,10,3,B3+B4+F4,20,2q^2 + 1q^3 + 3q^4 + 1q^5 + 1q^6,B3: (1 3 0) -> (3 3 0) ; B4: (2 1 3 0) -> (0 3 3 0) ; F4: (1 3 0 2) -> (3 3 0 0)
23907,10,3,B3+B4+F4,36,3q^2 + 4q^3 + 4q^4 + 2q^5 + 1q^6,B3: (1 3 1) -> (1 3 3) ; B4: (1 1 3 1) -> (0 1 3 3) ; F4: (1 3 1 3) -> (1 3 3 0)
23910,12,3,B3+B4+F4,7,1q^2 + 5q^3 + 5q^4 + 5q^5 + 2q^6 + 1q^7,B3: (1 3 1) -> (3 2 3) ; B4: (2 1 3 1) -> (0 3 2 3) ; F4: (1 3 1 3) -> (3 2 3 0)
23911,10,3,B3+B4+F4,20,2q^2 + 3q^3 + 4q^4 + 2q^5 + 1q^6,B3: (1 3 1) -> (3 3 1) ; B4: (2 1 3 1) -> (0 3 3 1) ; F4: (1 3 1 2) -> (3 3 1 0)
23915,10,3,B3+B4+F4,20,3q^2 + 4q^3 + 5q^4 + 2q^5 + 1q^6,B3: (1 3 2) -> (3 3 2) ; B4: (2 1 3 2) -> (0 3 3 2) ; F4: (1 3 2 2) -> (3 3 2 0)
23917,8,3,B3+B4+F4,68,3q^2 + 4q^3 + 5q^4 + 2q^5 + 1q^6,B3: (1 3 3) -> (3 3 3) ; B4: (2 1 3 3) -> (0 3 3 3) ; F4: (1 3 3 2) -> (3 3 3 0)
23928,11,3,B3+B4+F4,13,1q^3 + 1q^4 + 2q^5 + 1q^6 + 1q^7,B3: (2 0 0) -> (1 2 0) ; B4: (1 2 0 0) -> (0 1 2 0) ; F4: (2 0 0 3) -> (1 2 0 0)
23950,11,3,B3+B4+F4,7,2q^4 + 1q^5 + 2q^6 + 1q^7 + 1q^8,B3: (2 0 0) -> (3 1 0) ; B4: (2 2 0 0) -> (0 3 1 0) ; F4: (2 0 0 3) -> (3 1 0 0)
23969,11,3,B3+B4+F4,13,1q^2 + 3q^3 + 3q^4 + 3q^5 + 2q^6 + 1q^7,B3: (2 0 1) -> (1 2 1) ; B4: (1 2 0 1) -> (0 1 2 1) ; F4: (2 0 1 3) -> (1 2 1 0)
23987,12,3,B3+B4+F4,7,1q^2 + 3q^3 + 4q^4 + 4q^5 + 3q^6 + 2q^7 + 1q^8,B3: (2 0 1) -> (3 1 1) ; B4: (2 2 0 1) -> (0 3 1 1) ; F4: (2 0 1 3) -> (3 1 1 0)
24002,11,3,B3+B4+F4,13,1q^2 + 4q^3 + 4q^4 + 4q^5 + 2q^6 + 1q^7,B3: (2 0 2) -> (1 2 2) ; B4: (1 2 0 2) -> (0 1 2 2) ; F4: (2 0 2 3) -> (1 2 2 0)
24004,11,3,B3+B4+F4,15,1q^2 + 2q^3 + 2q^4 + 1q^5 + 1q^6,B3: (2 0 2) -> (1 3 0) ; B4: (1 2 0 2) -> (0 1 3 0) ; F4: (2 0 2 2) -> (1 3 0 0)
24012,14,3,B3+B4+F4,4,1q^3 + 2q^4 + 4q^5 + 3q^6 + 3q^7 + 1q^8 + 1q^9,B3: (2 0 2) -> (2 3 0) ; B4: (2 2 0 2) -> (0 2 3 0) ; F4: (2 0 2 3) -> (2 3 0 0)
24016,12,3,B3+B4+F4,7,1q^2 + 4q^3 + 6q^4 + 5q^5 + 4q^6 + 2q^7 + 1q^8,B3: (2 0 2) -> (3 1 2) ; B4: (2 2 0 2) -> (0 3 1 2) ; F4: (2 0 2 3) -> (3 1 2 0)
24018,12,3,B3+B4+F4,8,1q^2 + 3q^3 + 2q^4 + 3q^5 + 1q^6 + 1q^7,B3: (2 0 2) -> (3 2 0) ; B4: (2 2 0 2) -> (0 3 2 0) ; F4: (2 0 2 2) -> (3 2 0 0)
24028,11,3,B3+B4+F4,13,1q^2 + 5q^3 + 5q^4 + 4q^5 + 2q^6 + 1q^7,B3: (2 0 3) -> (1 2 3) ; B4: (1 2 0 3) -> (0 1 2 3) ; F4: (2 0 3 3) -> (1 2 3 0)
24029,11,3,B3+B4+F4,15,1q^2 + 3q^3 + 3q^4 + 2q^5 + 1q^6,B3: (2 0 3) -> (1 3 1) ; B4: (1 2 0 3) -> (0 1 3 1) ; F4: (2 0 3 2) -> (1 3 1 0)
24035,14,3,B3+B4+F4,4,2q^3 + 6q^4 + 7q^5 + 6q^6 + 4q^7 + 2q^8 + 1q^9,B3: (2 0 3) -> (2 3 1) ; B4: (2 2 0 3) -> (0 2 3 1) ; F4: (2 0 3 3) -> (2 3 1 0)
24038,12,3,B3+B4+F4,7,1q^2 + 5q^3 + 7q^4 + 6q^5 + 4q^6 + 2q^7 + 1q^8,B3: (2 0 3) -> (3 1 3) ; B4: (2 2 0 3) -> (0 3 1 3) ; F4: (2 0 3 3) -> (3 1 3 0)
24039,12,3,B3+B4+F4,8,1q^2 + 4q^3 + 4q^4 + 4q^5 + 2q^6 + 1q^7,B3: (2 0 3) -> (3 2 1) ; B4: (2 2 0 3) -> (0 3 2 1) ; F4: (2 0 3 2) -> (3 2 1 0)
24052,12,3,B3+B4+F4,13,1q^3 + 2q^4 + 2q^5 + 1q^6 + 1q^7,B3: (2 1 0) -> (1 3 0) ; B4: (1 2 1 0) -> (0 1 3 0) ; F4: (2 1 0 3) -> (1 3 0 0)
24066,11,3,B3+B4+F4,7,1q^3 + 3q^4 + 2q^5 + 3q^6 + 1q^7 + 1q^8,B3: (2 1 0) -> (3 2 0) ; B4: (2 2 1 0) -> (0 3 2 0) ; F4: (2 1 0 3) -> (3 2 0 0)
24077,12,3,B3+B4+F4,13,1q^2 + 3q^3 + 4q^4 + 3q^5 + 2q^6 + 1q^7,B3: (2 1 1) -> (1 3 1) ; B4: (1 2 1 1) -> (0 1 3 1) ; F4: (2 1 1 3) -> (1 3 1 0)
24087,11,3,B3+B4+F4,7,1q^2 + 4q^3 + 6q^4 + 5q^5 + 4q^6 + 2q^7 + 1q^8,B3: (2 1 1) -> (3 2 1) ; B4: (2 2 1 1) -> (0 3 2 1) ; F4: (2 1 1 3) -> (3 2 1 0)
24095,12,3,B3+B4+F4,13,1q^2 + 4q^3 + 5q^4 + 4q^5 + 2q^6 + 1q^7,B3: (2 1 2) -> (1 3 2) ; B4: (1 2 1 2) -> (0 1 3 2) ; F4: (2 1 2 3) -> (1 3 2 0)
24101,11,3,B3+B4+F4,7,1q^2 + 5q^3 + 8q^4 + 6q^5 + 5q^6 + 2q^7 + 1q^8,B3: (2 1 2) -> (3 2 2) ; B4: (2 2 1 2) -> (0 3 2 2) ; F4: (2 1 2 3) -> (3 2 2 0)
24103,10,3,B3+B4+F4,8,1q^2 + 3q^3 + 3q^4 + 3q^5 + 1q^6 + 1q^7,B3: (2 1 2) -> (3 3 0) ; B4: (2 2 1 2) -> (0 3 3 0) ; F4: (2 1 2 2) -> (3 3 0 0)
24107,12,3,B3+B4+F4,13,1q^2 + 5q^3 + 6q^4 + 4q^5 + 2q^6 + 1q^7,B3: (2 1 3) -> (1 3 3) ; B4: (1 2 1 3) -> (0 1 3 3) ; F4: (2 1 3 3) -> (1 3 3 0)
24110,11,3,B3+B4+F4,7,1q^2 + 6q^3 + 9q^4 + 7q^5 + 5q^6 + 2q^7 + 1q^8,B3: (2 1 3) -> (3 2 3) ; B4: (2 2 1 3) -> (0 3 2 3) ; F4: (2 1 3 3) -> (3 2 3 0)
24111,10,3,B3+B4+F4,8,1q^2 + 4q^3 + 5q^4 + 4q^5 + 2q^6 + 1q^7,B3: (2 1 3) -> (3 3 1) ; B4: (2 2 1 3) -> (0 3 3 1) ; F4: (2 1 3 2) -> (3 3 1 0)
24123,11,3,B3+B4+F4,7,1q^3 + 3q^4 + 3q^5 + 3q^6 + 1q^7 + 1q^8,B3: (2 2 0) -> (3 3 0) ; B4: (2 2 2 0) -> (0 3 3 0) ; F4: (2 2 0 3) -> (3 3 0 0)
24131,11,3,B3+B4+F4,7,1q^2 + 4q^3 + 6q^4 + 6q^5 + 4q^6 + 2q^7 + 1q^8,B3: (2 2 1) -> (3 3 1) ; B4: (2 2 2 1) -> (0 3 3 1) ; F4: (2 2 1 3) -> (3 3 1 0)
24135,11,3,B3+B4+F4,7,1q^2 + 5q^3 + 8q^4 + 7q^5 + 5q^6 + 2q^7 + 1q^8,B3: (2 2 2) -> (3 3 2) ; B4: (2 2 2 2) -> (0 3 3 2) ; F4: (2 2 2 3) -> (3 3 2 0)
24137,11,3,B3+B4+F4,7,1q^2 + 6q^3 + 9q^4 + 8q^5 + 5q^6 + 2q^7 + 1q^8,B3: (2 2 3) -> (3 3 3) ; B4: (2 2 2 3) -> (0 3 3 3) ; F4: (2 2 3 3) -> (3 3 3 0)
24199,12,3,B3+B4+F4,7,1q^3 + 2q^4 + 4q^5 + 3q^6 + 3q^7 + 1q^8 + 1q^9,B3: (3 0 2) -> (3 3 0) ; B4: (2 3 0 2) -> (0 3 3 0) ; F4: (3 0 2 3) -> (3 3 0 0)
24207,12,3,B3+B4+F4,7,2q^3 + 6q^4 + 7q^5 + 6q^6 + 4q^7 + 2q^8 + 1q^9,B3: (3 0 3) -> (3 3 1) ; B4: (2 3 0 3) -> (0 3 3 1) ; F4: (3 0 3 3) -> (3 3 1 0)
25100,4,2,B3+C3,105,1q^3,B3: (0 3 0) -> (2 0 4) ; C3: (0 4 0) -> (4 0 2)
25118,4,2,B3+C3,90,1q^3,B3: (0 3 0) -> (4 0 2) ; C3: (0 5 0) -> (2 0 4)
25284,4,2,B3+C3,36,1q^4,B3: (0 4 0) -> (4 0 4) ; C3: (0 6 0) -> (4 0 4)
40963,4,2,B3+C3,25,1q^4,B3: (0 4 0) -> (2 0 6) ; C3: (0 5 0) -> (6 0 2)
59278,13,3,C3+C4+F4,4,1q^3 + 1q^5 + 1q^7 + 1q^9,C3: (0 0 0) -> (0 0 2) ; C4: (2 0 0 0) -> (0 0 0 2) ; F4: (3 0 0 0) -> (0 2 0 0)
59280,12,3,C3+C4+F4,7,1q^2 + 1q^4,C3: (0 0 0) -> (0 1 0) ; C4: (1 0 0 0) -> (0 0 1 0) ; F4: (1 0 0 0) -> (0 0 1 0)
59284,13,3,C3+C4+F4,5,1q^2 + 2q^4 + 2q^6 + 1q^8,C3: (0 0 0) -> (0 2 0) ; C4: (2 0 0 0) -> (0 0 2 0) ; F4: (2 0 0 0) -> (0 0 2 0)
59288,12,3,C3+C4+F4,3,1q^4 + 3q^6 + 3q^8 + 1q^9 + 2q^10 + 1q^12,C3: (0 0 0) -> (0 3 0) ; C4: (3 0 0 0) -> (0 0 3 0) ; F4: (3 0 0 0) -> (0 0 3 0)
59293,13,3,C3+C4+F4,5,1q^3 + 1q^5 + 1q^6 + 1q^7,C3: (0 0 0) -> (1 0 1) ; C4: (2 0 0 0) -> (0 1 0 1) ; F4: (2 0 0 0) -> (0 1 0 1)
59297,12,3,C3+C4+F4,3,1q^4 + 2q^5 + 2q^6 + 3q^7 + 3q^8 + 2q^9 + 2q^10 + 1q^11,C3: (0 0 0) -> (1 1 1) ; C4: (3 0 0 0) -> (0 1 1 1) ; F4: (3 0 0 0) -> (0 1 1 1)
59308,13,3,C3+C4+F4,6,1q + 1q^3 + 1q^5,C3: (0 0 0) -> (2 0 0) ; C4: (2 0 0 0) -> (0 2 0 0) ; F4: (1 0 0 0) -> (0 0 0 2)
59312,12,3,C3+C4+F4,4,1q^3 + 1q^4 + 2q^5 + 1q^6 + 2q^7 + 1q^8 + 1q^9,C3: (0 0 0) -> (2 1 0) ; C4: (3 0 0 0) -> (0 2 1 0) ; F4: (2 0 0 0) -> (0 0 1 2)
59316,13,2,C3+F4,2,1q^3 + 3q^5 + 1q^6 + 5q^7 + 2q^8 + 5q^9 + 2q^10 + 3q^11 + 1q^12 + 1q^13,C3: (0 0 0) -> (2 2 0) ; F4: (3 0 0 0) -> (0 0 2 2)
59325,13,2,C3+F4,2,1q^4 + 2q^6 + 1q^7 + 3q^8 + 2q^9 + 2q^10 + 1q^11 + 1q^12,C3: (0 0 0) -> (3 0 1) ; F4: (3 0 0 0) -> (0 1 0 3)
59341,14,3,C3+C4+F4,4,1q^3 + 1q^5 + 1q^6 + 1q^7 + 1q^9,C3: (0 0 1) -> (0 0 3) ; C4: (2 0 0 1) -> (0 0 0 3) ; F4: (3 1 0 0) -> (0 3 0 0)
59342,11,3,C3+C4+F4,24,1q^2 + 1q^3 + 1q^4,C3: (0 0 1) -> (0 1 1) ; C4: (1 0 0 1) -> (0 0 1 1) ; F4: (1 1 0 0) -> (0 1 1 0)
59346,14,3,C3+C4+F4,5,1q^2 + 1q^3 + 3q^4 + 2q^5 + 2q^6 + 1q^7 + 1q^8,C3: (0 0 1) -> (0 2 1) ; C4: (2 0 0 1) -> (0 0 2 1) ; F4: (2 1 0 0) -> (0 1 2 0)
59350,14,3,C3+C4+F4,3,1q^4 + 2q^5 + 5q^6 + 4q^7 + 4q^8 + 3q^9 + 2q^10 + 1q^11 + 1q^12,C3: (0 0 1) -> (0 3 1) ; C4: (3 0 0 1) -> (0 0 3 1) ; F4: (3 1 0 0) -> (0 1 3 0)
59353,14,3,C3+C4+F4,5,1q^3 + 1q^4 + 2q^5 + 1q^6 + 1q^7,C3: (0 0 1) -> (1 0 2) ; C4: (2 0 0 1) -> (0 1 0 2) ; F4: (2 1 0 0) -> (0 2 0 1)
59355,4,3,C3+C4+F4,513,1q + 1q^2,C3: (0 0 1) -> (1 1 0) ; C4: (0 0 1 0) -> (1 1 0 0) ; F4: (0 1 0 0) -> (0 0 1 1)
59357,14,3,C3+C4+F4,3,2q^4 + 4q^5 + 5q^6 + 5q^7 + 4q^8 + 3q^9 + 2q^10 + 1q^11,C3: (0 0 1) -> (1 1 2) ; C4: (3 0 0 1) -> (0 1 1 2) ; F4: (3 1 0 0) -> (0 2 1 1)
59359,14,3,C3+C4+F4,6,1q^2 + 2q^3 + 2q^4 + 1q^5 + 1q^6,C3: (0 0 1) -> (1 2 0) ; C4: (2 0 0 1) -> (0 1 2 0) ; F4: (1 1 0 0) -> (0 0 2 1)
59363,14,3,C3+C4+F4,4,1q^3 + 2q^4 + 4q^5 + 4q^6 + 3q^7 + 2q^8 + 1q^9 + 1q^10,C3: (0 0 1) -> (1 3 0) ; C4: (3 0 0 1) -> (0 1 3 0) ; F4: (2 1 0 0) -> (0 0 3 1)
59367,12,3,C3+C4+F4,21,1q + 1q^2 + 2q^3 + 1q^4 + 1q^5,C3: (0 0 1) -> (2 0 1) ; C4: (2 0 0 1) -> (0 2 0 1) ; F4: (1 1 0 0) -> (0 1 0 2)
59371,14,3,C3+C4+F4,4,2q^3 + 4q^4 + 5q^5 + 4q^6 + 3q^7 + 2q^8 + 1q^9,C3: (0 0 1) -> (2 1 1) ; C4: (3 0 0 1) -> (0 2 1 1) ; F4: (2 1 0 0) -> (0 1 1 2)
59375,14,2,C3+F4,2,1q^3 + 2q^4 + 6q^5 + 8q^6 + 11q^7 + 9q^8 + 8q^9 + 5q^10 + 4q^11 + 2q^12 + 1q^13,C3: (0 0 1) -> (2 2 1) ; F4: (3 1 0 0) -> (0 1 2 2)
59382,5,3,C3+C4+F4,96,1q^3,C3: (0 0 1) -> (3 0 0) ; C4: (0 0 1 0) -> (3 0 0 0) ; F4: (0 1 0 0) -> (0 0 0 3)
59384,14,2,C3+F4,2,1q^4 + 2q^5 + 5q^6 + 4q^7 + 5q^8 + 3q^9 + 3q^10 + 1q^11 + 1q^12,C3: (0 0 1) -> (3 0 2) ; F4: (3 1 0 0) -> (0 2 0 3)
59386,14,3,C3+C4+F4,5,1q^2 + 1q^3 + 2q^4 + 2q^5 + 1q^6 + 1q^7,C3: (0 0 1) -> (3 1 0) ; C4: (3 0 0 1) -> (0 3 1 0) ; F4: (1 1 0 0) -> (0 0 1 3)
59390,14,2,C3+F4,3,1q^3 + 2q^4 + 4q^5 + 4q^6 + 5q^7 + 3q^8 + 3q^9 + 1q^10 + 1q^11,C3: (0 0 1) -> (3 2 0) ; F4: (2 1 0 0) -> (0 0 2 3)
59394,13,2,C3+F4,2,1q^4 + 2q^5 + 6q^6 + 7q^7 + 9q^8 + 9q^9 + 7q^10 + 6q^11 + 4q^12 + 3q^13 + 1q^14 + 1q^15,C3: (0 0 1) -> (3 3 0) ; F4: (3 1 0 0) -> (0 0 3 3)
59399,14,3,C3+C4+F4,5,1q^2 + 1q^3 + 3q^4 + 2q^5 + 3q^6 + 1q^7 + 1q^8,C3: (0 0 2) -> (0 2 2) ; C4: (2 0 0 2) -> (0 0 2 2) ; F4: (2 2 0 0) -> (0 2 2 0)
59402,14,3,C3+C4+F4,3,1q^4 + 2q^5 + 6q^6 + 5q^7 + 6q^8 + 3q^9 + 3q^10 + 1q^11 + 1q^12,C3: (0 0 2) -> (0 3 2) ; C4: (3 0 0 2) -> (0 0 3 2) ; F4: (3 2 0 0) -> (0 2 3 0)
59404,12,3,C3+C4+F4,8,1q^3 + 1q^4 + 2q^5 + 1q^6 + 1q^7,C3: (0 0 2) -> (1 0 3) ; C4: (2 0 0 2) -> (0 1 0 3) ; F4: (2 2 0 0) -> (0 3 0 1)
59406,14,3,C3+C4+F4,3,2q^4 + 4q^5 + 5q^6 + 6q^7 + 5q^8 + 3q^9 + 2q^10 + 1q^11,C3: (0 0 2) -> (1 1 3) ; C4: (3 0 0 2) -> (0 1 1 3) ; F4: (3 2 0 0) -> (0 3 1 1)
59407,12,3,C3+C4+F4,15,1q^2 + 2q^3 + 3q^4 + 2q^5 + 1q^6,C3: (0 0 2) -> (1 2 1) ; C4: (2 0 0 2) -> (0 1 2 1) ; F4: (1 2 0 0) -> (0 1 2 1)
59411,14,3,C3+C4+F4,4,1q^3 + 3q^4 + 6q^5 + 7q^6 + 5q^7 + 3q^8 + 2q^9 + 1q^10,C3: (0 0 2) -> (1 3 1) ; C4: (3 0 0 2) -> (0 1 3 1) ; F4: (2 2 0 0) -> (0 1 3 1)
59415,14,3,C3+C4+F4,4,2q^3 + 4q^4 + 6q^5 + 5q^6 + 4q^7 + 2q^8 + 1q^9,C3: (0 0 2) -> (2 1 2) ; C4: (3 0 0 2) -> (0 2 1 2) ; F4: (2 2 0 0) -> (0 2 1 2)
59417,6,3,C3+C4+F4,25,1q^2 + 1q^3 + 1q^4,C3: (0 0 2) -> (2 2 0) ; C4: (0 0 2 0) -> (2 2 0 0) ; F4: (0 2 0 0) -> (0 0 2 2)
59419,14,2,C3+F4,2,1q^3 + 2q^4 + 7q^5 + 10q^6 + 15q^7 + 12q^8 + 11q^9 + 6q^10 + 5q^11 + 2q^12 + 1q^13,C3: (0 0 2) -> (2 2 2) ; F4: (3 2 0 0) -> (0 2 2 2)
59421,14,3,C3+C4+F4,5,1q^3 + 3q^4 + 3q^5 + 3q^6 + 1q^7 + 1q^8,C3: (0 0 2) -> (2 3 0) ; C4: (3 0 0 2) -> (0 2 3 0) ; F4: (1 2 0 0) -> (0 0 3 2)
59426,14,2,C3+F4,2,1q^4 + 2q^5 + 6q^6 + 5q^7 + 6q^8 + 4q^9 + 3q^10 + 1q^11 + 1q^12,C3: (0 0 2) -> (3 0 3) ; F4: (3 2 0 0) -> (0 3 0 3)
59427,12,3,C3+C4+F4,13,1q^2 + 2q^3 + 3q^4 + 3q^5 + 2q^6 + 1q^7,C3: (0 0 2) -> (3 1 1) ; C4: (3 0 0 2) -> (0 3 1 1) ; F4: (1 2 0 0) -> (0 1 1 3)
59431,14,2,C3+F4,3,1q^3 + 3q^4 + 7q^5 + 8q^6 + 9q^7 + 6q^8 + 4q^9 + 2q^10 + 1q^11,C3: (0 0 2) -> (3 2 1) ; F4: (2 2 0 0) -> (0 1 2 3)
59435,14,2,C3+F4,2,1q^4 + 4q^5 + 10q^6 + 15q^7 + 18q^8 + 18q^9 + 14q^10 + 10q^11 + 7q^12 + 4q^13 + 2q^14 + 1q^15,C3: (0 0 2) -> (3 3 1) ; F4: (3 2 0 0) -> (0 1 3 3)
59438,12,3,C3+C4+F4,8,1q^2 + 1q^3 + 3q^4 + 2q^5 + 3q^6 + 1q^7 + 1q^8,C3: (0 0 3) -> (0 2 3) ; C4: (2 0 0 3) -> (0 0 2 3) ; F4: (2 3 0 0) -> (0 3 2 0)
59440,14,3,C3+C4+F4,3,1q^4 + 2q^5 + 6q^6 + 5q^7 + 6q^8 + 4q^9 + 3q^10 + 1q^11 + 1q^12,C3: (0 0 3) -> (0 3 3) ; C4: (3 0 0 3) -> (0 0 3 3) ; F4: (3 3 0 0) -> (0 3 3 0)
59442,14,3,C3+C4+F4,4,1q^3 + 3q^4 + 6q^5 + 7q^6 + 6q^7 + 4q^8 + 2q^9 + 1q^10,C3: (0 0 3) -> (1 3 2) ; C4: (3 0 0 3) -> (0 1 3 2) ; F4: (2 3 0 0) -> (0 2 3 1)
59444,12,3,C3+C4+F4,7,2q^3 + 4q^4 + 6q^5 + 5q^6 + 4q^7 + 2q^8 + 1q^9,C3: (0 0 3) -> (2 1 3) ; C4: (3 0 0 3) -> (0 2 1 3) ; F4: (2 3 0 0) -> (0 3 1 2)
59446,14,2,C3+F4,2,1q^3 + 2q^4 + 7q^5 + 10q^6 + 15q^7 + 13q^8 + 12q^9 + 7q^10 + 5q^11 + 2q^12 + 1q^13,C3: (0 0 3) -> (2 2 3) ; F4: (3 3 0 0) -> (0 3 2 2)
59447,12,3,C3+C4+F4,8,1q^3 + 3q^4 + 4q^5 + 4q^6 + 2q^7 + 1q^8,C3: (0 0 3) -> (2 3 1) ; C4: (3 0 0 3) -> (0 2 3 1) ; F4: (1 3 0 0) -> (0 1 3 2)
59451,14,2,C3+F4,3,1q^3 + 3q^4 + 7q^5 + 9q^6 + 10q^7 + 7q^8 + 5q^9 + 2q^10 + 1q^11,C3: (0 0 3) -> (3 2 2) ; F4: (2 3 0 0) -> (0 2 2 3)
59453,6,3,C3+C4+F4,13,1q^3 + 1q^4 + 1q^5 + 1q^6,C3: (0 0 3) -> (3 3 0) ; C4: (0 0 3 0) -> (3 3 0 0) ; F4: (0 3 0 0) -> (0 0 3 3)
59455,14,2,C3+F4,2,1q^4 + 4q^5 + 11q^6 + 17q^7 + 22q^8 + 22q^9 + 18q^10 + 13q^11 + 8q^12 + 5q^13 + 2q^14 + 1q^15,C3: (0 0 3) -> (3 3 2) ; F4: (3 3 0 0) -> (0 2 3 3)
